
Quadro extraído em 24 de Maio de 2021 (19:18:26)
http://www.ine.pt



Período de referência dos dados;Local de residência (NUTS - 2013) (1) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;16B1101: Alenquer;43596;21049;22547;
;16B1102: Arruda dos Vinhos;15082;7279;7803;
;16B1005: Bombarral;12533;6042;6491;
;16B1104: Cadaval;13627;6548;7079;
;16B1006: Caldas da Rainha;51540;24338;27202;
;16B1108: Lourinhã;25670;12318;13352;
;16B1011: Nazaré;14180;6652;7528;
;16B1012: Óbidos;11719;5651;6068;
;16B1014: Peniche;26487;12617;13870;
;16B1112: Sobral de Monte Agraço;10490;5143;5347;
;16B1113: Torres Vedras;78220;37437;40783;
;16D: Região de Aveiro;362100;171623;190477;
;16D0101: Águeda;45992;22009;23983;
;16D0102: Albergaria-a-Velha;24128;11519;12609;
;16D0103: Anadia;27298;12995;14303;
;16D0105: Aveiro;77916;36390;41526;
;16D0108: Estarreja;25965;12408;13557;
;16D0110: Ílhavo;38405;18044;20361;
;16D0112: Murtosa;10244;4938;5306;
;16D0114: Oliveira do Bairro;23944;11339;12605;
;16D0115: Ovar;54120;25790;28330;
;16D0117: Sever do Vouga;11403;5480;5923;
;16D0118: Vagos;22685;10711;11974;
;16E: Região de Coimbra;434015;203821;230194;
;16E0601: Arganil;11068;5223;5845;
;16E0602: Cantanhede;35068;16617;18451;
;16E0603: Coimbra;133724;61991;71733;
;16E0604: Condeixa-a-Nova;17597;8221;9376;
;16E0605: Figueira da Foz;58866;27672;31194;
;16E0606: Góis;3825;1753;2072;
;16E0607: Lousã;17128;8252;8876;
;16E0111: Mealhada;19892;9357;10535;
;16E0608: Mira;11831;5573;6258;
;16E0609: Miranda do Corvo;12687;6071;6616;
;16E0610: Montemor-o-Velho;25230;12041;13189;
;16E1808: Mortágua;8856;4108;4748;
;16E0611: Oliveira do Hospital;19331;9214;10117;
;16E0612: Pampilhosa da Serra;4052;1866;2186;
;16E0613: Penacova;13812;6457;7355;
;16E0614: Penela;5439;2535;2904;
;16E0615: Soure;17277;8130;9147;
;16E0616: Tábua;11403;5468;5935;
;16E0617: Vila Nova de Poiares;6929;3272;3657;
;16F: Região de Leiria;284492;135471;149021;
;16F1002: Alvaiázere;6626;3064;3562;
;16F1003: Ansião;12106;5679;6427;
;16F1004: Batalha;15840;7539;8301;
;16F1007: Castanheira de Pêra;2650;1221;1429;
;16F1008: Figueiró dos Vinhos;5608;2611;2997;
;16F1009: Leiria;124857;59737;65120;
;16F1010: Marinha Grande;38404;18160;20244;
;16F1013: Pedrógão Grande;3429;1616;1813;
;16F1015: Pombal;51684;24573;27111;
;16F1016: Porto de Mós;23288;11271;12017;
;16G: Viseu Dão Lafões;252220;118631;133589;
;16G0901: Aguiar da Beira;4740;2183;2557;
;16G1802: Carregal do Sal;9290;4393;4897;
;16G1803: Castro Daire;13928;6635;7293;
;16G1806: Mangualde;18618;8967;9651;
;16G1809: Nelas;13030;6104;6926;
;16G1810: Oliveira de Frades;9920;4685;5235;
;16G1811: Penalva do Castelo;7175;3416;3759;
;16G1814: Santa Comba Dão;10506;4842;5664;
;16G1816: São Pedro do Sul;15488;7242;8246;
;16G1817: Sátão;11602;5475;6127;
;16G1821: Tondela;26548;12528;14020;
;16G1822: Vila Nova de Paiva;4723;2224;2499;
;16G1823: Viseu;96991;45373;51618;
;16G1824: Vouzela;9661;4564;5097;
;16H: Beira Baixa;80782;38231;42551;
;16H0502: Castelo Branco;52192;24719;27473;
;16H0505: Idanha-a-Nova;8157;3842;4315;
;16H0506: Oleiros;5045;2356;2689;
;16H0507: Penamacor;4831;2373;2458;
;16H0508: Proença-a-Nova;7390;3474;3916;
;16H0511: Vila Velha de Ródão;3167;1467;1700;
;16I: Médio Tejo;232849;110019;122830;
;16I1401: Abrantes;35377;16859;18518;
;16I1402: Alcanena;12860;6104;6756;
;16I1408: Constância;4002;1846;2156;
;16I1410: Entroncamento;21214;9927;11287;
;16I1411: Ferreira do Zêzere;7989;3751;4238;
;16I1413: Mação;6323;2993;3330;
;16I1421: Ourém;44068;20835;23233;
;16I1417: Sardoal;3739;1788;1951;
;16I0509: Sertã;14682;6913;7769;
;16I1418: Tomar;36902;17402;19500;
