
Quadro extraído em 24 de Maio de 2021 (19:18:26)
http://www.ine.pt



Período de referência dos dados;Local de residência (NUTS - 2013) (1) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;11D1812: Penedono;2774;1323;1451;
;11D1708: Peso da Régua;16395;7687;8708;
;11D1710: Sabrosa;6099;2921;3178;
;11D1711: Santa Marta de Penaguião;6940;3247;3693;
;11D1815: São João da Pesqueira;7465;3658;3807;
;11D1818: Sernancelhe;5538;2674;2864;
;11D1819: Tabuaço;6186;2944;3242;
;11D1820: Tarouca;7833;3774;4059;
;11D0409: Torre de Moncorvo;8099;3850;4249;
;11D0914: Vila Nova de Foz Côa;6903;3241;3662;
;11D1714: Vila Real;50626;24102;26524;
;11E: Terras de Trás-os-Montes;112179;53730;58449;
;11E0401: Alfândega da Fé;4767;2308;2459;
;11E0402: Bragança;34341;16532;17809;
;11E0405: Macedo de Cavaleiros;15075;7096;7979;
;11E0406: Miranda do Douro;7213;3512;3701;
;11E0407: Mirandela;22703;10691;12012;
;11E0408: Mogadouro;8952;4350;4602;
;11E0410: Vila Flor;6341;3026;3315;
;11E0411: Vimioso;4363;2116;2247;
;11E0412: Vinhais;8424;4099;4325;
;16: Centro;2263992;1073816;1190176;
;16B: Oeste;358442;172025;186417;
;16B1001: Alcobaça;55237;26541;28696;
;16B1101: Alenquer;43004;20827;22177;
;16B1102: Arruda dos Vinhos;14258;6908;7350;
;16B1005: Bombarral;12737;6119;6618;
;16B1104: Cadaval;13876;6681;7195;
;16B1006: Caldas da Rainha;51507;24310;27197;
;16B1108: Lourinhã;25571;12311;13260;
;16B1011: Nazaré;14487;6847;7640;
;16B1012: Óbidos;11622;5615;6007;
;16B1014: Peniche;27028;12972;14056;
;16B1112: Sobral de Monte Agraço;10183;4987;5196;
;16B1113: Torres Vedras;78932;37907;41025;
;16D: Região de Aveiro;364457;173041;191416;
;16D0101: Águeda;46885;22426;24459;
;16D0102: Albergaria-a-Velha;24580;11802;12778;
;16D0103: Anadia;28135;13400;14735;
;16D0105: Aveiro;76935;35980;40955;
;16D0108: Estarreja;26389;12615;13774;
;16D0110: Ílhavo;38273;18095;20178;
;16D0112: Murtosa;10383;4997;5386;
;16D0114: Oliveira do Bairro;23467;11100;12367;
;16D0115: Ovar;54679;26074;28605;
;16D0117: Sever do Vouga;11908;5730;6178;
;16D0118: Vagos;22823;10822;12001;
;16E: Região de Coimbra;444014;208844;235170;
;16E0601: Arganil;11522;5460;6062;
;16E0602: Cantanhede;35967;17024;18943;
;16E0603: Coimbra;135592;63010;72582;
;16E0604: Condeixa-a-Nova;17342;8070;9272;
;16E0605: Figueira da Foz;60621;28507;32114;
;16E0606: Góis;4016;1852;2164;
;16E0607: Lousã;17236;8320;8916;
;16E0111: Mealhada;20152;9552;10600;
;16E0608: Mira;12162;5724;6438;
;16E0609: Miranda do Corvo;12905;6186;6719;
;16E0610: Montemor-o-Velho;25736;12345;13391;
;16E1808: Mortágua;9240;4328;4912;
;16E0611: Oliveira do Hospital;20092;9573;10519;
;16E0612: Pampilhosa da Serra;4197;1934;2263;
;16E0613: Penacova;14506;6788;7718;
;16E0614: Penela;5657;2650;3007;
;16E0615: Soure;18231;8589;9642;
;16E0616: Tábua;11757;5595;6162;
;16E0617: Vila Nova de Poiares;7083;3337;3746;
;16F: Região de Leiria;289438;138215;151223;
;16F1002: Alvaiázere;6950;3218;3732;
;16F1003: Ansião;12643;5944;6699;
;16F1004: Batalha;15789;7538;8251;
;16F1007: Castanheira de Pêra;2865;1326;1539;
;16F1008: Figueiró dos Vinhos;5857;2738;3119;
;16F1009: Leiria;125561;60206;65355;
;16F1010: Marinha Grande;38533;18305;20228;
;16F1013: Pedrógão Grande;3608;1717;1891;
;16F1015: Pombal;53788;25654;28134;
;16F1016: Porto de Mós;23844;11569;12275;
;16G: Viseu Dão Lafões;260062;122556;137506;
;16G0901: Aguiar da Beira;5121;2378;2743;
;16G1802: Carregal do Sal;9598;4542;5056;
;16G1803: Castro Daire;14638;7006;7632;
;16G1806: Mangualde;19300;9286;10014;
;16G1809: Nelas;13563;6396;7167;
;16G1810: Oliveira de Frades;10089;4772;5317;
;16G1811: Penalva do Castelo;7579;3605;3974;
;16G1814: Santa Comba Dão;11010;5120;5890;
;16G1816: São Pedro do Sul;16165;7548;8617;
;16G1817: Sátão;12010;5718;6292;
;16G1821: Tondela;27848;13144;14704;
;16G1822: Vila Nova de Paiva;4949;2316;2633;
;16G1823: Viseu;98093;45933;52160;
;16G1824: Vouzela;10099;4792;5307;
;16H: Beira Baixa;84463;40034;44429;
;16H0502: Castelo Branco;53840;25505;28335;
;16H0505: Idanha-a-Nova;8895;4212;4683;
;16H0506: Oleiros;5360;2519;2841;
;16H0507: Penamacor;5203;2533;2670;
;16H0508: Proença-a-Nova;7839;3725;4114;
;16H0511: Vila Velha de Ródão;3326;1540;1786;
;16I: Médio Tejo;239200;113277;125923;
;16I1401: Abrantes;37116;17742;19374;
;16I1402: Alcanena;13279;6338;6941;
;16I1408: Constância;4005;1867;2138;
;16I1410: Entroncamento;20462;9623;10839;
;16I1411: Ferreira do Zêzere;8268;3897;4371;
;16I1413: Mação;6794;3221;3573;
;16I1421: Ourém;45127;21293;23834;
;16I1417: Sardoal;3837;1860;1977;
;16I0509: Sertã;15286;7219;8067;
;16I1418: Tomar;38581;18190;20391;
;16I1419: Torres Novas;35738;16971;18767;
;16I0510: Vila de Rei;3406;1544;1862;
;16I1420: Vila Nova da Barquinha;7301;3512;3789;
;16J: Beiras e Serra da Estrela;223916;105824;118092;
;16J0902: Almeida;6465;3002;3463;
;16J0501: Belmonte;6576;3165;3411;
;16J0903: Celorico da Beira;7321;3422;3899;
;16J0503: Covilhã;49187;23395;25792;
;16J0904: Figueira de Castelo Rodrigo;5993;2871;3122;
;16J0905: Fornos de Algodres;4821;2222;2599;
;16J0504: Fundão;27912;13295;14617;
;16J0906: Gouveia;13269;6071;7198;
;16J0907: Guarda;40574;19243;21331;
;16J0908: Manteigas;3239;1524;1715;
;16J0909: Mêda;4868;2299;2569;
;16J0910: Pinhel;9086;4291;4795;
;16J0911: Sabugal;11687;5473;6214;
;16J0912: Seia;23508;11099;12409;
;16J0913: Trancoso;9410;4452;4958;
;17: Área Metropolitana de Lisboa;2809168;1321402;1487766;
;170: Área Metropolitana de Lisboa;2809168;1321402;1487766;
;1701502: Alcochete;18658;8925;9733;
;1701503: Almada;170139;80061;90078;
;1701115: Amadora;175952;82190;93762;
;1701504: Barreiro;76775;35953;40822;
;1701105: Cascais;209376;97689;111687;
;1701106: Lisboa;509312;233038;276274;
;1701107: Loures;204695;97214;107481;
;1701109: Mafra;81199;39297;41902;
;1701506: Moita;65288;30954;34334;
;1701507: Montijo;54600;26373;28227;
;1701116: Odivelas;152840;72026;80814;
;1701110: Oeiras;172959;80012;92947;
;1701508: Palmela;64019;30754;33265;
;1701510: Seixal;163737;78007;85730;
;1701511: Sesimbra;50601;24761;25840;
;1701512: Setúbal;118166;56145;62021;
;1701111: Sintra;380934;181134;199800;
;1701114: Vila Franca de Xira;139918;66869;73049;
;18: Alentejo;733370;353231;380139;
;181: Alentejo Litoral;95946;47434;48512;
;1811501: Alcácer do Sal;12362;5925;6437;
;1811505: Grândola;14835;7666;7169;
;1810211: Odemira;25431;12686;12745;
;1811509: Santiago do Cacém;29500;14375;15125;
;1811513: Sines;13818;6782;7036;
;184: Baixo Alentejo;121859;59187;62672;
;1840201: Aljustrel;8755;4298;4457;
;1840202: Almodôvar;7087;3451;3636;
;1840203: Alvito;2518;1204;1314;
;1840204: Barrancos;1739;847;892;
;1840205: Beja;34595;16795;17800;
;1840206: Castro Verde;7223;3542;3681;
;1840207: Cuba;4819;2315;2504;
;1840208: Ferreira do Alentejo;8080;3909;4171;
;1840209: Mértola;6681;3244;3437;
;1840210: Moura;14425;6976;7449;
;1840212: Ourique;5026;2448;2578;
;1840213: Serpa;15189;7415;7774;
;1840214: Vidigueira;5722;2743;2979;
;185: Lezíria do Tejo;243620;116798;126822;
;1851403: Almeirim;23246;10897;12349;
;1851404: Alpiarça;7390;3574;3816;
;1851103: Azambuja;22339;11682;10657;
;1851405: Benavente;29882;14445;15437;
;1851406: Cartaxo;24254;11553;12701;
;1851407: Chamusca;9751;4643;5108;
;1851409: Coruche;18863;8925;9938;
;1851412: Golegã;5654;2602;3052;
;1851414: Rio Maior;20872;10029;10843;
;1851415: Salvaterra de Magos;21963;10457;11506;
;1851416: Santarém;59406;27991;31415;
;186: Alto Alentejo;112084;53400;58684;
;1861201: Alter do Chão;3384;1591;1793;
;1861202: Arronches;3041;1440;1601;
;1861203: Avis;4440;2111;2329;
;1861204: Campo Maior;8280;4003;4277;
;1861205: Castelo de Vide;3184;1522;1662;
;1861206: Crato;3451;1603;1848;
;1861207: Elvas;21902;10419;11483;
;1861208: Fronteira;3154;1464;1690;
;1861209: Gavião;3742;1754;1988;
;1861210: Marvão;3305;1620;1685;
;1861211: Monforte;3164;1451;1713;
;1861212: Nisa;6824;3221;3603;
;1861213: Ponte de Sor;15926;7662;8264;
;1861214: Portalegre;23525;11275;12250;
;1861215: Sousel;4762;2264;2498;
;187: Alentejo Central;159861;76412;83449;
;1870701: Alandroal;5450;2626;2824;
;1870702: Arraiolos;7203;3475;3728;
;1870703: Borba;7121;3476;3645;
;1870704: Estremoz;13502;6398;7104;
;1870705: Évora;54271;25514;28757;
;1870706: Montemor-o-Novo;16563;7943;8620;
;1870707: Mora;4584;2204;2380;
;1870708: Mourão;2577;1289;1288;
;1870709: Portel;6200;3057;3143;
;1870710: Redondo;6737;3247;3490;
;1870711: Reguengos de Monsaraz;10480;5122;5358;
;1870712: Vendas Novas;11669;5515;6154;
;1870713: Viana do Alentejo;5414;2610;2804;
;1870714: Vila Viçosa;8090;3936;4154;
;15: Algarve;441468;212756;228712;
;150: Algarve;441468;212756;228712;
;1500801: Albufeira;40107;19493;20614;
;1500802: Alcoutim;2544;1252;1292;
;1500803: Aljezur;5629;2745;2884;
;1500804: Castro Marim;6493;3203;3290;
;1500805: Faro;61214;29220;31994;
;1500806: Lagoa;22723;11064;11659;
;1500807: Lagos;30714;14691;16023;
;1500808: Loulé;69230;33415;35815;
;1500809: Monchique;5552;2723;2829;
;1500810: Olhão;45175;21666;23509;
;1500811: Portimão;55229;26350;28879;
;1500812: São Brás de Alportel;10531;5156;5375;
;1500813: Silves;36562;18073;18489;
;1500814: Tavira;25511;12194;13317;
;1500815: Vila do Bispo;5202;2552;2650;
;1500816: Vila Real de Santo António;19052;8959;10093;
;2: Região Autónoma dos Açores;246353;120758;125595;
;20: Região Autónoma dos Açores;246353;120758;125595;
;200: Região Autónoma dos Açores;246353;120758;125595;
;2004301: Angra do Heroísmo;34771;16799;17972;
;2004501: Calheta;3378;1687;1691;
;2004901: Corvo;459;259;200;
;2004701: Horta;14910;7263;7647;
;2004201: Lagoa;14667;7236;7431;
;2004801: Lajes das Flores;1515;808;707;
;2004601: Lajes do Pico;4654;2268;2386;
;2004602: Madalena;6000;2902;3098;
;2004202: Nordeste;4990;2470;2520;
;2004203: Ponta Delgada;68517;33274;35243;
;2004204: Povoação;6149;2981;3168;
;2004205: Ribeira Grande;32625;16387;16238;
;2004401: Santa Cruz da Graciosa;4363;2129;2234;
;2004802: Santa Cruz das Flores;2215;1074;1141;
;2004603: São Roque do Pico;3316;1647;1669;
;2004502: Velas;5292;2654;2638;
;2004302: Vila da Praia da Vitória;21596;10636;10960;
;2004101: Vila do Porto;5650;2711;2939;
;2004206: Vila Franca do Campo;11286;5573;5713;
;3: Região Autónoma da Madeira;258686;121068;137618;
;30: Região Autónoma da Madeira;258686;121068;137618;
;300: Região Autónoma da Madeira;258686;121068;137618;
;3003101: Calheta;11170;5052;6118;
;3003102: Câmara de Lobos;34482;16464;18018;
;3003103: Funchal;106721;49225;57496;
;3003104: Machico;20874;10070;10804;
;3003105: Ponta do Sol;8694;3962;4732;
;3003106: Porto Moniz;2469;1045;1424;
;3003201: Porto Santo;5251;2600;2651;
;3003107: Ribeira Brava;12720;5742;6978;
;3003108: Santa Cruz;43873;21237;22636;
;3003109: Santana;7131;3220;3911;
;3003110: São Vicente;5301;2451;2850;
2013;PT: Portugal;10427301;4958020;5469281;
;1: Continente;9918548;4714328;5204220;
;11: Norte;3644195;1736838;1907357;
;111: Alto Minho;240134;111804;128330;
;1111601: Arcos de Valdevez;22142;10084;12058;
;1111602: Caminha;16417;7577;8840;
;1111603: Melgaço;8804;3886;4918;
;1111604: Monção;18836;8539;10297;
;1111605: Paredes de Coura;8991;4287;4704;
;1111606: Ponte da Barca;11768;5399;6369;
;1111607: Ponte de Lima;43019;20163;22856;
;1111608: Valença;13804;6425;7379;
;1111609: Viana do Castelo;87243;41081;46162;
;1111610: Vila Nova de Cerveira;9110;4363;4747;
;112: Cávado;408851;195580;213271;
;1120301: Amares;18560;8975;9585;
;1120302: Barcelos;119563;57609;61954;
;1120303: Braga;181847;86506;95341;
;1120306: Esposende;34250;16276;17974;
;1120310: Terras de Bouro;6857;3278;3579;
;1120313: Vila Verde;47774;22936;24838;
;119: Ave;421931;203152;218779;
;1190304: Cabeceiras de Basto;16364;7959;8405;
;1190307: Fafe;49945;23509;26436;
;1190308: Guimarães;156310;75561;80749;
;1191705: Mondim de Basto;7313;3511;3802;
;1190309: Póvoa de Lanhoso;21844;10380;11464;
;1190311: Vieira do Minho;12583;6047;6536;
;1190312: Vila Nova de Famalicão;133711;64532;69179;
;1190314: Vizela;23861;11653;12208;
;11A: Área Metropolitana do Porto;1740983;825487;915496;
;11A0104: Arouca;21751;10438;11313;
;11A0107: Espinho;30418;14350;16068;
;11A1304: Gondomar;167525;80144;87381;
;11A1306: Maia;135924;64778;71146;
;11A1308: Matosinhos;174690;82544;92146;
;11A0113: Oliveira de Azeméis;67756;32588;35168;
;11A1310: Paredes;86876;42421;44455;
;11A1312: Porto;222252;100513;121739;
;11A1313: Póvoa de Varzim;62999;29733;33266;
;11A0109: Santa Maria da Feira;140038;67432;72606;
;11A1314: Santo Tirso;70477;33568;36909;
;11A0116: São João da Madeira;21625;10186;11439;
;11A1318: Trofa;38642;18534;20108;
;11A0119: Vale de Cambra;22319;10761;11558;
;11A1315: Valongo;95123;45318;49805;
;11A1316: Vila do Conde;79740;38390;41350;
;11A1317: Vila Nova de Gaia;302828;143789;159039;
;11B: Alto Tâmega;91264;43509;47755;
;11B1702: Boticas;5488;2611;2877;
;11B1703: Chaves;40672;19411;21261;
;11B1706: Montalegre;9935;4751;5184;
;11B1709: Ribeira de Pena;6346;3121;3225;
;11B1712: Valpaços;16097;7517;8580;
;11B1713: Vila Pouca de Aguiar;12726;6098;6628;
;11C: Tâmega e Sousa;428054;207625;220429;
;11C1301: Amarante;55171;26384;28787;
;11C1302: Baião;19899;9525;10374;
;11C0106: Castelo de Paiva;16267;7918;8349;
;11C0305: Celorico de Basto;19795;9600;10195;
;11C1804: Cinfães;19647;9533;10114;
;11C1303: Felgueiras;57673;27748;29925;
;11C1305: Lousada;47300;22921;24379;
;11C1307: Marco de Canaveses;52966;25709;27257;
;11C1309: Paços de Ferreira;57001;28385;28616;
;11C1311: Penafiel;71434;34609;36825;
;11C1813: Resende;10901;5293;5608;
;11D: Douro;199400;95113;104287;
;11D1701: Alijó;11452;5480;5972;
;11D1801: Armamar;6076;2859;3217;
;11D0403: Carrazeda de Ansiães;6063;2893;3170;
;11D0404: Freixo de Espada à Cinta;3622;1715;1907;
;11D1805: Lamego;26007;12410;13597;
;11D1704: Mesão Frio;4234;1971;2263;
;11D1807: Moimenta da Beira;10025;4796;5229;
;11D1707: Murça;5773;2774;2999;
;11D1812: Penedono;2831;1356;1475;
;11D1708: Peso da Régua;16597;7818;8779;
;11D1710: Sabrosa;6172;2964;3208;
;11D1711: Santa Marta de Penaguião;7045;3310;3735;
;11D1815: São João da Pesqueira;7555;3707;3848;
;11D1818: Sernancelhe;5594;2707;2887;
;11D1819: Tabuaço;6247;2983;3264;
;11D1820: Tarouca;7894;3823;4071;
;11D0409: Torre de Moncorvo;8220;3910;4310;
;11D0914: Vila Nova de Foz Côa;6984;3296;3688;
;11D1714: Vila Real;51009;24341;26668;
;11E: Terras de Trás-os-Montes;113578;54568;59010;
;11E0401: Alfândega da Fé;4845;2351;2494;
;11E0402: Bragança;34681;16707;17974;
;11E0405: Macedo de Cavaleiros;15230;7200;8030;
;11E0406: Miranda do Douro;7303;3569;3734;
;11E0407: Mirandela;22962;10861;12101;
;11E0408: Mogadouro;9098;4442;4656;
;11E0410: Vila Flor;6438;3080;3358;
;11E0411: Vimioso;4442;2162;2280;
;11E0412: Vinhais;8579;4196;4383;
;16: Centro;2281164;1083228;1197936;
;16B: Oeste;360090;173046;187044;
;16B1001: Alcobaça;55651;26790;28861;
;16B1101: Alenquer;43086;20896;22190;
;16B1102: Arruda dos Vinhos;14170;6884;7286;
;16B1005: Bombarral;12869;6192;6677;
;16B1104: Cadaval;14009;6748;7261;
;16B1006: Caldas da Rainha;51727;24447;27280;
;16B1108: Lourinhã;25657;12376;13281;
;16B1011: Nazaré;14610;6922;7688;
;16B1012: Óbidos;11694;5653;6041;
;16B1014: Peniche;27205;13077;14128;
;16B1112: Sobral de Monte Agraço;10211;5016;5195;
;16B1113: Torres Vedras;79201;38045;41156;
;16D: Região de Aveiro;366086;174062;192024;
;16D0101: Águeda;47127;22567;24560;
;16D0102: Albergaria-a-Velha;24724;11890;12834;
;16D0103: Anadia;28345;13510;14835;
;16D0105: Aveiro;77229;36187;41042;
;16D0108: Estarreja;26555;12719;13836;
;16D0110: Ílhavo;38410;18165;20245;
;16D0112: Murtosa;10437;5011;5426;
;16D0114: Oliveira do Bairro;23443;11108;12335;
;16D0115: Ovar;54919;26240;28679;
;16D0117: Sever do Vouga;12000;5775;6225;
;16D0118: Vagos;22897;10890;12007;
;16E: Região de Coimbra;447936;210864;237072;
;16E0601: Arganil;11669;5531;6138;
;16E0602: Cantanhede;36234;17151;19083;
;16E0603: Coimbra;136964;63671;73293;
;16E0604: Condeixa-a-Nova;17371;8093;9278;
;16E0605: Figueira da Foz;61076;28722;32354;
;16E0606: Góis;4079;1888;2191;
;16E0607: Lousã;17331;8382;8949;
;16E0111: Mealhada;20255;9626;10629;
;16E0608: Mira;12260;5786;6474;
;16E0609: Miranda do Corvo;12984;6234;6750;
;16E0610: Montemor-o-Velho;25911;12429;13482;
;16E1808: Mortágua;9344;4391;4953;
;16E0611: Oliveira do Hospital;20294;9684;10610;
;16E0612: Pampilhosa da Serra;4257;1958;2299;
;16E0613: Penacova;14678;6883;7795;
;16E0614: Penela;5734;2693;3041;
;16E0615: Soure;18499;8728;9771;
;16E0616: Tábua;11855;5650;6205;
;16E0617: Vila Nova de Poiares;7141;3364;3777;
;16F: Região de Leiria;291079;139177;151902;
;16F1002: Alvaiázere;7048;3272;3776;
;16F1003: Ansião;12773;6006;6767;
;16F1004: Batalha;15804;7563;8241;
;16F1007: Castanheira de Pêra;2939;1370;1569;
;16F1008: Figueiró dos Vinhos;5941;2782;3159;
;16F1009: Leiria;125977;60488;65489;
;16F1010: Marinha Grande;38700;18432;20268;
;16F1013: Pedrógão Grande;3686;1751;1935;
;16F1015: Pombal;54201;25847;28354;
;16F1016: Porto de Mós;24010;11666;12344;
;16G: Viseu Dão Lafões;262125;123708;138417;
;16G0901: Aguiar da Beira;5224;2430;2794;
;16G1802: Carregal do Sal;9656;4585;5071;
;16G1803: Castro Daire;14789;7086;7703;
;16G1806: Mangualde;19485;9380;10105;
;16G1809: Nelas;13670;6451;7219;
;16G1810: Oliveira de Frades;10153;4811;5342;
;16G1811: Penalva do Castelo;7679;3651;4028;
;16G1814: Santa Comba Dão;11166;5214;5952;
;16G1816: São Pedro do Sul;16336;7623;8713;
;16G1817: Sátão;12147;5771;6376;
;16G1821: Tondela;28167;13323;14844;
;16G1822: Vila Nova de Paiva;5007;2348;2659;
;16G1823: Viseu;98424;46183;52241;
;16G1824: Vouzela;10222;4852;5370;
;16H: Beira Baixa;85656;40625;45031;
;16H0502: Castelo Branco;54409;25779;28630;
;16H0505: Idanha-a-Nova;9108;4326;4782;
;16H0506: Oleiros;5444;2561;2883;
;16H0507: Penamacor;5324;2587;2737;
;16H0508: Proença-a-Nova;7989;3795;4194;
;16H0511: Vila Velha de Ródão;3382;1577;1805;
;16I: Médio Tejo;241445;114435;127010;
;16I1401: Abrantes;37588;17994;19594;
;16I1402: Alcanena;13413;6413;7000;
;16I1408: Constância;4028;1895;2133;
;16I1410: Entroncamento;20445;9637;10808;
;16I1411: Ferreira do Zêzere;8357;3946;4411;
;16I1413: Mação;6946;3286;3660;
;16I1421: Ourém;45452;21440;24012;
;16I1417: Sardoal;3874;1881;1993;
;16I0509: Sertã;15422;7289;8133;
;16I1418: Tomar;39085;18454;20631;
;16I1419: Torres Novas;36056;17117;18939;
;16I0510: Vila de Rei;3450;1558;1892;
;16I1420: Vila Nova da Barquinha;7329;3525;3804;
;16J: Beiras e Serra da Estrela;226747;107311;119436;
;16J0902: Almeida;6628;3084;3544;
;16J0501: Belmonte;6673;3209;3464;
;16J0903: Celorico da Beira;7403;3459;3944;
;16J0503: Covilhã;49749;23668;26081;
;16J0904: Figueira de Castelo Rodrigo;6073;2912;3161;
;16J0905: Fornos de Algodres;4888;2259;2629;
;16J0504: Fundão;28200;13450;14750;
;16J0906: Gouveia;13450;6156;7294;
;16J0907: Guarda;40994;19492;21502;
;16J0908: Manteigas;3297;1554;1743;
;16J0909: Mêda;4941;2339;2602;
;16J0910: Pinhel;9205;4355;4850;
;16J0911: Sabugal;11914;5580;6334;
;16J0912: Seia;23795;11279;12516;
;16J0913: Trancoso;9537;4515;5022;
;17: Área Metropolitana de Lisboa;2807525;1321167;1486358;
;170: Área Metropolitana de Lisboa;2807525;1321167;1486358;
;1701502: Alcochete;18410;8814;9596;
;1701503: Almada;170756;80424;90332;
;1701115: Amadora;175354;81971;93383;
;1701504: Barreiro;77212;36202;41010;
;1701105: Cascais;208514;97394;111120;
;1701106: Lisboa;516815;236003;280812;
;1701107: Loures;203117;96541;106576;
;1701109: Mafra;80247;38896;41351;
;1701506: Moita;65433;31092;34341;
;1701507: Montijo;53939;26079;27860;
;1701116: Odivelas;151012;71282;79730;
;1701110: Oeiras;172556;79864;92692;
;1701508: Palmela;63752;30647;33105;
;1701510: Seixal;162516;77530;84986;
;1701511: Sesimbra;50337;24654;25683;
;1701512: Setúbal;118689;56431;62258;
;1701111: Sintra;379756;180762;198994;
;1701114: Vila Franca de Xira;139110;66581;72529;
;18: Alentejo;743306;359439;383867;
;181: Alentejo Litoral;97030;48143;48887;
;1811501: Alcácer do Sal;12563;6061;6502;
;1811505: Grândola;14985;7743;7242;
;1810211: Odemira;25704;12884;12820;
;1811509: Santiago do Cacém;29794;14566;15228;
;1811513: Sines;13984;6889;7095;
;184: Baixo Alentejo;123598;60284;63314;
;1840201: Aljustrel;8915;4395;4520;
;1840202: Almodôvar;7199;3522;3677;
;1840203: Alvito;2557;1230;1327;
;1840204: Barrancos;1768;860;908;
;1840205: Beja;35024;17044;17980;
;1840206: Castro Verde;7289;3584;3705;
;1840207: Cuba;4867;2357;2510;
;1840208: Ferreira do Alentejo;8199;3978;4221;
;1840209: Mértola;6840;3344;3496;
;1840210: Moura;14625;7110;7515;
;1840212: Ourique;5144;2520;2624;
;1840213: Serpa;15374;7536;7838;
;1840214: Vidigueira;5797;2804;2993;
;185: Lezíria do Tejo;246219;118509;127710;
;1851403: Almeirim;23458;11051;12407;
;1851404: Alpiarça;7529;3646;3883;
;1851103: Azambuja;22477;11740;10737;
;1851405: Benavente;29908;14529;15379;
;1851406: Cartaxo;24479;11737;12742;
;1851407: Chamusca;9881;4735;5146;
;1851409: Coruche;19211;9141;10070;
;1851412: Golegã;5766;2671;3095;
;1851414: Rio Maior;21063;10167;10896;
;1851415: Salvaterra de Magos;22190;10590;11600;
;1851416: Santarém;60257;28502;31755;
;186: Alto Alentejo;114137;54580;59557;
;1861201: Alter do Chão;3462;1633;1829;
;1861202: Arronches;3100;1476;1624;
;1861203: Avis;4505;2152;2353;
;1861204: Campo Maior;8365;4060;4305;
;1861205: Castelo de Vide;3248;1556;1692;
;1861206: Crato;3522;1647;1875;
;1861207: Elvas;22245;10646;11599;
;1861208: Fronteira;3222;1501;1721;
;1861209: Gavião;3873;1823;2050;
;1861210: Marvão;3376;1660;1716;
;1861211: Monforte;3228;1489;1739;
;1861212: Nisa;7019;3319;3700;
;1861213: Ponte de Sor;16184;7807;8377;
;1861214: Portalegre;23915;11501;12414;
;1861215: Sousel;4873;2310;2563;
;187: Alentejo Central;162322;77923;84399;
;1870701: Alandroal;5580;2709;2871;
;1870702: Arraiolos;7302;3539;3763;
;1870703: Borba;7230;3554;3676;
;1870704: Estremoz;13740;6538;7202;
;1870705: Évora;55053;25986;29067;
;1870706: Montemor-o-Novo;16850;8127;8723;
;1870707: Mora;4683;2259;2424;
;1870708: Mourão;2601;1293;1308;
;1870709: Portel;6307;3115;3192;
;1870710: Redondo;6842;3313;3529;
;1870711: Reguengos de Monsaraz;10625;5199;5426;
;1870712: Vendas Novas;11804;5618;6186;
;1870713: Viana do Alentejo;5515;2674;2841;
;1870714: Vila Viçosa;8190;3999;4191;
;15: Algarve;442358;213656;228702;
;150: Algarve;442358;213656;228702;
;1500801: Albufeira;40047;19502;20545;
;1500802: Alcoutim;2629;1301;1328;
;1500803: Aljezur;5673;2774;2899;
;1500804: Castro Marim;6543;3235;3308;
;1500805: Faro;61749;29505;32244;
;1500806: Lagoa;22750;11096;11654;
;1500807: Lagos;30720;14733;15987;
;1500808: Loulé;69192;33452;35740;
;1500809: Monchique;5632;2787;2845;
;1500810: Olhão;45201;21738;23463;
;1500811: Portimão;55152;26379;28773;
;1500812: São Brás de Alportel;10538;5153;5385;
;1500813: Silves;36636;18143;18493;
;1500814: Tavira;25624;12281;13343;
;1500815: Vila do Bispo;5216;2568;2648;
;1500816: Vila Real de Santo António;19056;9009;10047;
;2: Região Autónoma dos Açores;247440;121646;125794;
;20: Região Autónoma dos Açores;247440;121646;125794;
;200: Região Autónoma dos Açores;247440;121646;125794;
;2004301: Angra do Heroísmo;35029;16984;18045;
;2004501: Calheta;3440;1727;1713;
;2004901: Corvo;463;260;203;
;2004701: Horta;14994;7312;7682;
;2004201: Lagoa;14666;7253;7413;
;2004801: Lajes das Flores;1526;815;711;
;2004601: Lajes do Pico;4694;2295;2399;
;2004602: Madalena;6046;2934;3112;
;2004202: Nordeste;5012;2487;2525;
;2004203: Ponta Delgada;68768;33512;35256;
;2004204: Povoação;6200;3013;3187;
;2004205: Ribeira Grande;32661;16454;16207;
;2004401: Santa Cruz da Graciosa;4400;2147;2253;
;2004802: Santa Cruz das Flores;2237;1088;1149;
;2004603: São Roque do Pico;3361;1669;1692;
;2004502: Velas;5337;2679;2658;
;2004302: Vila da Praia da Vitória;21612;10673;10939;
;2004101: Vila do Porto;5663;2727;2936;
;2004206: Vila Franca do Campo;11331;5617;5714;
;3: Região Autónoma da Madeira;261313;122046;139267;
;30: Região Autónoma da Madeira;261313;122046;139267;
;300: Região Autónoma da Madeira;261313;122046;139267;
;3003101: Calheta;11295;5090;6205;
;3003102: Câmara de Lobos;34798;16617;18181;
;3003103: Funchal;108053;49739;58314;
;3003104: Machico;21147;10187;10960;
;3003105: Ponta do Sol;8787;4000;4787;
;3003106: Porto Moniz;2530;1070;1460;
;3003201: Porto Santo;5299;2621;2678;
;3003107: Ribeira Brava;12889;5803;7086;
;3003108: Santa Cruz;43827;21137;22690;
